conceptUri,preferredLabel,altLabels,skillType,reuseLevel,description
http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,advise on construction materials,"provide advice on construction materials
giving of advice on construction materials
advise about construction materials
advise regarding construction materials
giving advice on construction materials
give advice on construction materials",skill/competence,cross-sector,Provide advice on and test a wide range of construction materials.
http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,develop blockchain innovative architectures,build innovative blockchain architectures,skill/competence,cross-sector,Develop new blockchain architectures that address properties and priorities as they are needed by specific applications. Argue the advantages and shortcomings of such new architectures with respect to existing ones.
http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8,biomedical science,principles of natural sciences applied to medicine,knowledge,cross-sector,The principles of the natural sciences applied to medicine. Medical sciences such as medical microbiology and clinical virology apply biology principles for medical knowledge and invention.
http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,write Hungarian,"correspond in written Hungarian
show competency in written Hungarian",skill/competence,transversal,Compose written texts in Hungarian.
http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,tend packaging machines,"watch packaging machines
mind packaging machines
tend packaging machinery
take care of packaging machines
look after packaging machines
tend a packaging machines",skill/competence,cross-sector,"Tend packaging machines such as filling, labelling, and sealing machines. Stock and sort products to be processed according to specifications. Replenish packaging supplies as required, such as boxes, cartons, wrapping paper, plastic sheet, glue, ink, or labels."
http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,manage supplies,"supplies managing
control and monitor supplies
monitor and control supplies
supply chain management
supplies planning
manage supply chain
plan supplies
supplies management",skill/competence,cross-sector,"Monitor and control the flow of supplies that includes the purchase, storage and movement of the required quality of raw materials, and also work-in-progress inventory. Manage supply chain activities and synchronise supply with demand of production and customer."
http://data.europa.eu/esco/skill/021c8a09-6b8d-4708-a5dd-17677e846640,understand spoken Luxembourgish,"understand Luxembourgish speech
interpret spoken Luxembourgish
comprehend spoken Luxembourgish
make sense of spoken Luxembourgish
listen to Luxembourgish",knowledge,transversal,Comprehend orally expressed Luxembourgish.
http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f,geomatics,the study of Earth’s surface,knowledge,cross-sector,"The scientific discipline that studies gathering, storing, and processing geographic information."
http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,contamination exposure regulations,"regulations concerning contamination exposure
regulations about contaminated materials
contamination risks while handling battery materials
regulations regarding contamination exposure
regulations concerning contaminated materials
regulations regarding contaminated materials
regulations about contamination exposure",knowledge,cross-sector,"The regulations concerning exposure to contaminated materials or a hazardous environment which regulate the actions surrounding risk assessment, minimisation of further exposure, quarantine, and treatment of the exposed persons."
http://data.europa.eu/esco/skill/0240c5a8-d8ec-4cd5-948f-4649334c01b8,search historical sources in archives,"query historical sources in archives
search archives for historical sources
find historical sources in archives
historical source search in archives
explore historical sources in archives",skill/competence,cross-sector,Search archives in order to find the sources needed for historical research.
